request_id,bridge_id,t1_timestamp,t2_mpc_ms,t3_vdf_ms,t4_dispatch_ms,tx_hash
1,1,1774155132,5,4602,8002,0x3f1090fa93ad7e9c1695b681a952cbe9a0c83b802bd968e080b8338d9354d99b
2,1,1774155156,5,4332,4879,0xcfcdf10e9a9747d6a6c3df60215d04abb0b8bdf1623af65374a3159a6f190801
3,2,1774155180,5,4317,15001,0x0000000000000000000000000000000000000000000000000000000000000302
4,1,1774155228,4,4604,6446,0xac2a36f7d5fe7e69a1fe3db2530d84d60a2fdae8e46f6ca56da9096e49ca42d5
5,1,1774155252,4,4321,3328,0x4d79d47dfa478e0e5715aca6641a53db415d4c785de8f7c12e40d23fc440a0f5
6,1,1774155276,5,4357,3333,0x80e71f53b67ce056d04f4040629af743d6f0b60452d34df6760c0b0763184e5d
7,1,1774155300,6,4366,3328,0x475976be244afa3b3d78d88fd3579c7a9f047d83f8fb7a552737b628dbea0de5
8,1,1774155324,5,4304,3332,0xf98247937df8ae7100d58636443dece31d61fe8a8b50dd8bc8758345746ff0b0
9,1,1774155360,7,4487,8017,0x822c3ce38113af91b35544e138ba627bf17f24a7f020f85756530aa42db0d1c9
10,1,1774155384,9,4531,3326,0x04c5f7778b908f73b360171d14173139f7f24d861f6c86a39ef8468e7dd1abe7
11,2,1774155408,5,4551,15000,0x0000000000000000000000000000000000000000000000000000000000000b02
12,1,1774155444,5,4563,1777,0xfdf4b77c49859f9e7331a8268e1d1dd45610dfdf66849425b91684b7611e2fb7
13,1,1774155468,4,4352,4885,0x784dde3bad6805c638cb31ff8987fa48dda450b4948514afd6b899fd77d0896a
14,1,1774155492,4,4312,3332,0x32073a1545d7af391f3cbc95967a9edeb0de7774e4a7979eedd3c96ad5990dfa
15,1,1774155516,5,4384,3345,0xf92a4b6ce1f565b967cbffb05fb06e9a314a1c279ad06344c1dcd0ce1d26001c
16,1,1774155540,8,4360,3328,0xb38e411a858e868e3fc3a4b1c5efa524d8801f9f0e4c7e2a21afe315bab8ab9d
17,1,1774155564,5,4839,14209,0x20aa0296bfeb3532436bb564c22827795ec7210269710b709011cce584c939d7
18,1,1774155588,5,4406,11158,0xb30b04a00b2c95cb136b065afd4a058b69d909090d589a1c5b8b9ed7b18d19a5
19,1,1774155612,5,4608,12666,0x3d48a18d5229b70b48ab44e43235f285dbc703427ff442c17acab04916463fe8
20,1,1774155636,5,4426,11103,0x0e74e07c03e0cfe098283159ef086dadb609b084729c093e884ce54506baee86
21,1,1774155660,5,4611,11136,0x972d386537174f9245712d5ca0326322ab6bb7b0f506414d24292e20d5e9b02c
22,2,1774155684,5,4478,163,0x0000000000000000000000000000000000000000000000000000000000001602
23,2,1774155720,4,4474,165,0x0000000000000000000000000000000000000000000000000000000000001702
24,2,1774155744,5,4297,166,0x0000000000000000000000000000000000000000000000000000000000001802
25,2,1774155768,4,4492,165,0x0000000000000000000000000000000000000000000000000000000000001902
26,2,1774155804,5,4498,164,0x0000000000000000000000000000000000000000000000000000000000001a02
27,2,1774155828,5,4418,177,0x0000000000000000000000000000000000000000000000000000000000001b02
28,2,1774155852,6,4670,165,0x0000000000000000000000000000000000000000000000000000000000001c02
29,2,1774155876,5,4457,162,0x0000000000000000000000000000000000000000000000000000000000001d02
30,2,1774155900,5,4607,171,0x0000000000000000000000000000000000000000000000000000000000001e02
31,2,1774155924,5,4461,162,0x0000000000000000000000000000000000000000000000000000000000001f02
32,2,1774155948,6,4629,164,0x0000000000000000000000000000000000000000000000000000000000002002
33,2,1774155972,9,4794,162,0x0000000000000000000000000000000000000000000000000000000000002102
34,2,1774155996,7,4748,164,0x0000000000000000000000000000000000000000000000000000000000002202
35,2,1774156020,4,4334,168,0x0000000000000000000000000000000000000000000000000000000000002302
36,2,1774156044,5,4409,176,0x0000000000000000000000000000000000000000000000000000000000002402
37,2,1774156068,5,4382,163,0x0000000000000000000000000000000000000000000000000000000000002502
38,2,1774156092,5,4627,175,0x0000000000000000000000000000000000000000000000000000000000002602
39,2,1774156116,4,4545,166,0x0000000000000000000000000000000000000000000000000000000000002702
40,2,1774156140,5,4310,164,0x0000000000000000000000000000000000000000000000000000000000002802
41,2,1774156164,5,4903,163,0x0000000000000000000000000000000000000000000000000000000000002902
