request_id,t1_timestamp,t2_mpc_ms,t3_vdf_ms,t4_dispatch_ms,bridge_name,bridge_id_hex,selected_bridge,attempt_count,fallback_hops,dispatch_status,error_reason,tx_hash
2,1774371024,57,9225,9544,"","","NONE",1,0,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x85e1cf11c84f67ff46cdcb9bda8dc9007b034b61c153cd25f2b85e9689f74307",""
1,1774371636,52,8881,15000,"","","NONE",1,0,"failed","all bridges failed: bridge_name=AXELAR: timeout",""
2,1774371780,56,9411,9558,"","","NONE",1,0,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x530b60e6e91dd6489f7f4e6a67048350b288bd1ce02c4e38d8d58418439df772",""
3,1774371984,49,9501,9546,"AXELAR","0x19edcad651d55a6105c95a821dd1b031b543cd34d3b6ae5850bcd21be7f4f5ee","AXELAR",1,0,"success","","0xc89324f954a16c2cc288b357971fb7203a80f49bb28b04e716e9facfe459d8b5"
4,1774372116,49,8998,8146,"","","NONE",1,0,"failed","all bridges failed: bridge_name=LAYERZERO: relayVDFPayload reverted via LAYERZERO: tx=0xf48b41040530fbce9253450e1acf9abb06625e778738560f1640c59faf456024",""
5,1774372356,50,9144,12687,"","","NONE",1,0,"failed","all bridges failed: bridge_name=LAYERZERO: relayVDFPayload reverted via LAYERZERO: tx=0x4f2a0551bcd1baf974a33dd255aab115021b03ba06dde4bf207dd9ee76ce55ba",""
6,1774372560,50,9044,14226,"LAYERZERO","0xe34d309d2a3947d08baad60196a07f69352ed61cce4b781f48c19141173b2894","LAYERZERO",1,0,"success","","0xa5f02dea057831fe9ab8d2a58e1324d971dec0a681271efdde4e91bd905e32d2"
7,1774372668,59,8712,7999,"","","NONE",1,0,"failed","all bridges failed: bridge_name=WORMHOLE: relayVDFPayload reverted via WORMHOLE: tx=0x61945d7d8f0fa68832d68c1c8a36c4f83e9a8e74bc66bce13790bb01bc546d13",""
1,1774374276,58,9277,23871,"AXELAR","0x19edcad651d55a6105c95a821dd1b031b543cd34d3b6ae5850bcd21be7f4f5ee","AXELAR",2,1,"success","","0xe92b80fbb1f1b863f2ca5ba77794422fe54e17d1d43062bbd68770a8f7cb8949"
2,1774374360,60,9053,12647,"","","NONE",1,0,"failed","all bridges failed: bridge_name=WORMHOLE: relayVDFPayload reverted via WORMHOLE: tx=0x93b42951d32df20ef7a7fa716d59c3bcf56c03a430bde66a9bc6e2e20ff427c3",""
1,1774376604,50,8973,57,"","","NONE",1,0,"failed","all bridges failed: bridge_name=WORMHOLE: fee exceeds cap for WORMHOLE: estimated=30600000000000000 cap=5000000000000000",""
2,1774376724,59,8990,59,"","","NONE",1,0,"failed","all bridges failed: bridge_name=WORMHOLE: fee exceeds cap for WORMHOLE: estimated=30600000000000000 cap=5000000000000000",""
3,1774376820,53,9012,59,"","","NONE",1,0,"failed","all bridges failed: bridge_name=WORMHOLE: fee exceeds cap for WORMHOLE: estimated=30600000000000000 cap=5000000000000000",""
4,1774376928,58,8778,8036,"WORMHOLE","0x2b16ac5d9b2a377d6d59ce09936fbcfc51656b9937f4ebc83f6e75ae73d8090f","WORMHOLE",1,0,"success","","0xac2c6f0007e0e383b0d57d7864df528a0c94bff5cff01cece89d00a7dee795e3"
5,1774455048,51,8979,7927,"","","NONE",1,0,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x868b23df467c7259c0ce733fdb56894e742a5d36e53fd6cde11b503182b762a7",""
6,1774455828,54,8945,11101,"","","NONE",1,0,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x775750e925b83a24c8bcc532fad77360da438ff3ee4781e2fe554f47e42f6ad4",""
7,1774466448,5,4269,12688,"","","NONE",3,2,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0xc47fcc685fa1986e679f4b24a0272135acaff21d3aa53dbe38dae04c1367f3d3 | bridge_name=LAYERZERO: fee exceeds cap for LAYERZERO: estimated=11579208923731619542357098500868790785326998466564056403945758400791312963 cap=50000000000000000 | bridge_name=WORMHOLE: fee exceeds cap for WORMHOLE: estimated=11579208923731619542357098500868790785326998466564056403945758400791312963 cap=50000000000000000",""
8,1774467156,5,4466,36208,"","","NONE",3,2,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x31bf7d4205e5f848fb9d3f1bb753751c497ff1ecf1a5e5a90cc9155a303d6be1 | bridge_name=LAYERZERO: relayVDFPayload reverted via LAYERZERO: tx=0x5e9ec2ef00ce58e664939218f59ff0411e76838fa8969d92921f0d153c0195a7 | bridge_name=WORMHOLE: relayVDFPayload reverted via WORMHOLE: tx=0x7a30651bfd20cd24be34b39ac376130b812dc52bb62d758ac862149c1eadf3bf",""
11,1774469508,5,4470,39571,"","","NONE",3,2,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x9ba1e6f7346a41ed6749800183ad67a848a9fe0680a16b21026e8396320285a1 | bridge_name=LAYERZERO: relayVDFPayload reverted via LAYERZERO: tx=0x8789d9fd1237471e197ebfbe195c20cdc020f0cd07c0962d2ae61d2bfc09be6a | bridge_name=WORMHOLE: relayVDFPayload reverted via WORMHOLE: tx=0x6fff956104aa9534d609e2ca129fce4006c51696df1cbe6d02ad848c2fefa5dc",""
1,1774470384,5,4317,36380,"","","NONE",3,2,"failed","all bridges failed: bridge_name=AXELAR: relayVDFPayload reverted via Axelar: tx=0x86088a3a111f6080827bbda364b463ac1cdbd9feabaea42e6acdf78dd0dee29c | bridge_name=LAYERZERO: relayVDFPayload reverted via LAYERZERO: tx=0x32a68a79223c44ab31a8e5d18fec3ab8c50c7a3cf37deb749526f1d2ee53bc0e | bridge_name=WORMHOLE: relayVDFPayload reverted via WORMHOLE: tx=0x7f19683dbd569863fb8b974e4e49f51e14f37ef2b485b9196373369f0de27b02",""
2,1774470768,5,4438,10412,"AXELAR","0x19edcad651d55a6105c95a821dd1b031b543cd34d3b6ae5850bcd21be7f4f5ee","AXELAR",1,0,"success","","0xb69991e980a8c211c410bc61620242763cd5bb32fc07e664cf2907af1b4d5bea"
